epoch,zpid,addr,zipCode,price,status,beds,baths,sqft
1464221671,3843685,1445 N State Pkwy APT 1904  Chicago  IL 60610,60610,0,,3 beds,2 baths,1612 sqft
1464221671,65539234,3001 N Damen Ave UNIT 1  Chicago  IL 60618,60618,$299000,for-sale,2 beds,2 baths,1500 sqft
1464221671,54534960,1960 W Diversey Pkwy # 2  Chicago  IL 60614,60614,$300000,for-sale,2 beds,2 baths,1200 sqft
1464221671,54534571,525 W Aldine Ave APT 202  Chicago  IL 60657,60657,$399000,for-sale,3 beds,2 baths,2000 sqft
1464221671,3732640,2134 N Winchester Ave # A  Chicago  IL 60614,60614,0,,2 beds,1.5 baths,1800 sqft
1464221671,3842945,1515 N Astor St APT 12B  Chicago  IL 60610,60610,$399000,for-sale,2 beds,2 baths,1300 sqft
1464221671,2099256223,1619 N. Maplewood Ave  Chicago  IL 60647,60647,0,,8 beds,6 baths,-- sqft
1464221671,3738303,2336 N Commonwealth Ave APT 201  Chicago  IL 60614,60614,$419000,for-sale,3 beds,2 baths,1400 sqft
1464221671,70463174,2635 W Cortez St # 3  Chicago  IL 60622,60622,$339000,for-sale,2 beds,2 baths,1275 sqft
1464221671,3854293,1555 N Sandburg Ter APT 303  Chicago  IL 60610,60610,$359000,for-sale,2 beds,2 baths,1200 sqft
1464221671,62011097,2241 N Oakley Ave # B  Chicago  IL 60647,60647,$549900,for-sale,3 beds,3 baths,2200 sqft
1464221671,3668351,3327 N Troy St  Chicago  IL 60618,60618,$399000,recently-sold,3 beds,2 baths,2400 sqft
1464221671,3843484,1434 N Astor St # 3  Chicago  IL 60610,60610,$525000,for-sale,2 beds,2.5 baths,1600 sqft
1464221671,2100285800,1622 N Mozart St APT 1N  Chicago  IL 60647,60647,$379900,for-sale,3 beds,3 baths,2200 sqft
1464221671,70462020,2156 N Damen Ave STE 1  Chicago  IL 60647,60647,$420000,for-sale,3 beds,3 baths,1700 sqft
1464221671,87706120,4038 N Kenmore Ave APT 3  Chicago  IL 60613,60613,$324900,for-sale,2 beds,2 baths,1250 sqft
1464221671,89959302,2150 W North Ave APT 7  Chicago  IL 60647,60647,$459000,for-sale,2 beds,3 baths,2175 sqft
1464221671,2100676955,1000 N Lake Shore Dr APT 2305  Chicago  IL 60611,60611,$545000,for-sale,3 beds,2 baths,1800 sqft
